Date,Open,High,Low,Close,Adj Close,Volume
2021-06-27,27050.326172,29021.041016,26869.558594,29013.742188,29013.742188,29735530456
2021-06-28,29038.423828,29497.716797,28473.472656,28866.302734,28866.302734,28412102661
2021-06-29,28900.861328,30720.148438,28753.523438,30139.980469,30139.980469,31848900087
2021-06-30,30174.105469,30306.333984,28768.814453,29555.054688,29555.054688,28726957762
2021-07-01,29550.958984,29550.958984,27761.310547,28341.414063,28341.414063,31943458371
2021-07-02,28322.404297,28654.990234,27679.820313,28569.314453,28569.314453,32641787035
2021-07-03,28533.386719,29422.431641,28152.660156,29219.554688,29219.554688,20551434327
2021-07-04,29217.039063,30280.455078,28990.246094,29764.078125,29764.078125,21022831221
2021-07-05,29761.179688,29761.179688,27983.937500,28444.033203,28444.033203,22523224003
2021-07-06,28425.074219,29579.671875,28427.511719,28957.701172,28957.701172,22415984656
2021-07-07,28949.654297,29601.759766,28694.296875,28707.894531,28707.894531,21025989867
2021-07-08,28736.962891,28757.296875,27150.162109,27752.710938,27752.710938,25248203553
2021-07-09,27739.457031,28662.384766,27293.294922,28454.882813,28454.882813,23098660464
2021-07-10,28466.023438,28802.804688,27882.490234,28223.070313,28223.070313,19341490472
2021-07-11,28213.437500,29119.490234,28076.751953,28840.886719,28840.886719,16937803944
2021-07-12,28852.535156,29151.085938,27565.923828,27948.556641,27948.556641,20501686427
2021-07-13,27922.947266,28141.904297,27391.365234,27772.195313,27772.195313,16238387526
2021-07-14,27790.726563,27938.832031,26849.878906,27737.478516,27737.478516,18064857618
2021-07-15,27742.146484,28025.533203,26415.396484,26906.457031,26906.457031,18033620233
2021-07-16,26957.949219,27281.773438,26353.808594,26616.242188,26616.242188,20075115913
2021-07-17,26595.718750,27051.980469,26448.906250,26710.714844,26710.714844,16005403695
2021-07-18,26711.408203,27444.216797,26441.707031,26917.812500,26917.812500,15905101628
2021-07-19,26920.523438,27015.613281,25876.175781,26134.539063,26134.539063,17329375882
2021-07-20,26151.882813,26284.099609,24936.054688,25299.851563,25299.851563,19647763124
2021-07-21,25290.460938,27762.083984,25073.488281,27227.458984,27227.458984,23914049599
2021-07-22,27251.353516,27691.796875,26923.949219,27447.947266,27447.947266,16610936345
2021-07-23,27441.876953,28527.830078,27234.623047,28527.830078,28527.830078,19158166209
2021-07-24,28538.175781,29300.416016,28395.220703,29132.255859,29132.255859,18404688435
2021-07-25,29130.425781,30039.039063,28783.433594,30026.519531,30026.519531,17715710196
2021-07-26,30055.265625,34319.386719,29977.701172,31628.847656,31628.847656,43221149247
2021-07-27,31576.753906,33336.066406,30871.863281,33336.066406,33336.066406,29690410041
2021-07-28,33417.484375,34560.597656,32899.851563,33764.222656,33764.222656,32672260425
2021-07-29,33763.839844,34189.921875,33224.746094,33643.082031,33643.082031,22844853094
2021-07-30,33659.109375,35590.078125,32259.806641,35590.078125,35590.078125,27869012071
2021-07-31,35557.011719,35586.625000,34642.988281,35077.269531,35077.269531,21743361094
2021-08-01,34937.933594,35848.726563,33328.820313,33690.843750,33690.843750,22493015644
2021-08-02,33633.839844,34015.570313,32636.474609,33015.015625,33015.015625,21555769455
2021-08-03,32995.191406,33479.621094,31847.322266,32145.031250,32145.031250,22065717849
2021-08-04,32195.878906,33745.906250,31719.166016,33576.187500,33576.187500,21433142518
2021-08-05,33573.660156,34938.070313,31643.248047,34536.406250,34536.406250,29732758610
2021-08-06,34533.292969,36792.507813,33779.550781,36399.933594,36399.933594,32497785843
2021-08-07,36413.789063,37992.550781,36231.664063,37878.578125,37878.578125,34031757079
2021-08-08,37894.425781,38496.250000,36834.031250,37281.746094,37281.746094,30901481683
2021-08-09,37276.476563,39556.042969,36458.363281,39501.929688,39501.929688,33000273327
2021-08-10,39429.894531,39747.226563,38138.308594,38895.972656,38895.972656,28623543705
2021-08-11,38908.496094,39816.843750,38689.542969,38829.910156,38829.910156,29228448871
2021-08-12,38815.640625,39373.210938,37358.152344,37857.078125,37857.078125,28735694964
2021-08-13,37866.796875,40547.597656,37739.468750,40514.828125,40514.828125,26909894509
2021-08-14,40529.550781,40774.023438,39145.519531,39924.835938,39924.835938,26458364542
2021-08-15,39924.597656,40145.375000,38638.546875,39890.167969,39890.167969,26274887098
2021-08-16,39867.238281,40689.136719,38807.207031,39058.035156,39058.035156,27827732126
2021-08-17,39000.281250,40059.113281,38036.660156,38170.503906,38170.503906,28567965431
2021-08-18,38163.156250,39276.835938,37875.078125,38282.078125,38282.078125,27509491838
2021-08-19,38231.402344,40219.839844,37677.210938,40011.644531,40011.644531,31863930903
2021-08-20,40016.390625,42170.960938,39941.078125,42168.417969,42168.417969,29662710164
2021-08-21,42158.074219,42504.074219,41303.062500,41810.281250,41810.281250,34697103726
2021-08-22,41779.175781,42299.710938,41207.093750,42166.070313,42166.070313,21690154270
2021-08-23,42140.441406,43068.277344,41784.328125,42187.304688,42187.304688,29209895615
2021-08-24,42201.097656,42483.445313,40572.199219,40591.277344,40591.277344,30087439475
2021-08-25,40609.261719,41798.484375,40132.558594,41589.105469,41589.105469,27731017546
2021-08-26,41624.656250,41936.710938,39431.363281,39938.910156,39938.910156,27793027038
2021-08-27,39898.355469,41637.230469,39487.519531,41591.351563,41591.351563,29258076943
2021-08-28,41603.148438,41781.964844,41117.074219,41458.871094,41458.871094,24219695246
2021-08-29,41466.371094,42087.683594,40630.964844,41386.457031,41386.457031,21943161406
2021-08-30,41390.710938,41472.914063,39799.183594,39888.605469,39888.605469,26996771542
2021-08-31,39862.628906,40754.289063,39624.820313,39937.781250,39937.781250,29407483737
2021-09-01,39881.121094,41465.328125,39451.468750,41250.730469,41250.730469,33052752888
2021-09-02,41217.644531,42469.406250,41072.386719,41543.117188,41543.117188,33273143710
2021-09-03,41509.875000,42880.882813,40727.292969,42112.261719,42112.261719,36371739714
2021-09-04,42098.750000,42534.257813,41695.449219,42028.554688,42028.554688,31532234752
2021-09-05,42022.855469,43661.292969,41686.878906,43543.507813,43543.507813,25512438561
2021-09-06,43556.628906,44384.734375,43032.125000,44329.070313,44329.070313,32749010156
2021-09-07,44351.761719,44487.542969,36544.402344,39521.417969,39521.417969,55055157929
2021-09-08,39535.464844,39952.781250,37696.312500,38997.878906,38997.878906,41465418833
2021-09-09,38729.964844,39943.246094,38623.812500,39233.226563,39233.226563,32705466036
2021-09-10,39237.656250,39785.890625,37539.691406,38002.757813,38002.757813,33151864661
2021-09-11,37990.843750,38908.546875,37934.316406,38258.652344,38258.652344,29200764051
2021-09-12,38263.027344,39252.554688,37910.781250,38997.027344,38997.027344,23604800758
2021-09-13,38991.898438,39505.148438,36921.585938,38073.335938,38073.335938,34692077878
2021-09-14,38070.777344,39998.472656,37895.511719,39900.292969,39900.292969,32749002832
2021-09-15,39904.957031,40996.847656,39622.339844,40762.152344,40762.152344,25793023914
2021-09-16,40747.394531,41129.875000,40008.632813,40615.281250,40615.281250,26999268519
2021-09-17,40604.781250,40904.464844,39936.246094,40312.578125,40312.578125,24500717915
2021-09-18,40317.699219,41610.265625,40158.859375,41172.417969,41172.417969,24369669132
