Date,Open,High,Low,Close,Adj Close,Volume
2021-06-28,1659.105957,1794.511353,1647.029663,1743.376831,1743.376831,21388891561
2021-06-29,1746.555054,1885.000854,1740.734253,1815.710938,1815.710938,20852347571
2021-06-30,1818.608276,1925.116699,1756.868286,1918.458130,1918.458130,21784570747
2021-07-01,1918.331543,1918.331543,1754.513550,1784.295166,1784.295166,24533743345
2021-07-02,1781.160889,1816.792725,1709.616699,1812.109863,1812.109863,26798674642
2021-07-03,1812.779663,1885.879761,1784.759888,1876.227051,1876.227051,14693290458
2021-07-04,1876.594604,2008.964355,1846.494995,1958.297729,1958.297729,15846305179
2021-07-05,1958.465332,1958.465332,1822.455444,1853.154419,1853.154419,16945207209
2021-07-06,1852.595459,1980.751465,1852.595459,1966.320801,1966.320801,17671297325
2021-07-07,1965.076538,2033.142822,1944.289307,1963.160156,1963.160156,18992856071
2021-07-08,1965.523560,1970.990234,1763.524170,1789.573608,1789.573608,19573744473
2021-07-09,1785.815308,1841.959717,1732.125732,1807.321777,1807.321777,19388829153
2021-07-10,1807.580444,1844.005615,1752.904663,1777.725708,1777.725708,14803025825
2021-07-11,1777.281372,1829.322021,1754.487671,1802.263184,1802.263184,12386508503
2021-07-12,1802.972534,1826.386841,1695.966675,1716.843750,1716.843750,14977555565
2021-07-13,1714.633057,1723.192383,1632.016724,1647.616333,1647.616333,14115918138
2021-07-14,1648.536743,1705.050903,1586.170410,1685.367554,1685.367554,14656052712
2021-07-15,1685.689209,1722.238892,1595.641846,1618.054810,1618.054810,13281978421
2021-07-16,1622.645874,1659.470825,1569.922363,1592.816040,1592.816040,12608271987
2021-07-17,1589.849976,1624.339600,1571.815308,1608.437866,1608.437866,11320482418
2021-07-18,1609.597656,1684.260132,1594.280884,1604.692871,1604.692871,11675603015
2021-07-19,1602.577759,1625.582764,1534.174194,1541.127563,1541.127563,12006226893
2021-07-20,1542.641602,1557.232422,1460.326660,1517.201538,1517.201538,14742100933
2021-07-21,1516.153809,1717.041626,1493.753784,1688.193970,1688.193970,18021255071
2021-07-22,1691.460205,1737.615601,1658.874512,1720.282227,1720.282227,14861308326
2021-07-23,1720.199707,1808.979370,1699.360596,1805.016846,1805.016846,13762379225
2021-07-24,1804.324219,1866.956055,1790.221924,1859.793823,1859.793823,13641186266
2021-07-25,1858.032471,1864.227905,1791.501587,1861.357178,1861.357178,12372800334
2021-07-26,1861.302979,2058.177246,1849.711060,1891.898315,1891.898315,25086471744
2021-07-27,1889.213257,1960.633301,1825.486206,1944.261353,1944.261353,19513796621
2021-07-28,1947.431885,1982.876953,1905.720581,1938.725342,1938.725342,16032305537
2021-07-29,1940.807495,2014.936768,1919.424316,2002.146484,2002.146484,13717915450
2021-07-30,2003.482300,2081.153564,1951.127686,2078.802490,2078.802490,17032498644
2021-07-31,2074.263916,2149.794678,2042.484375,2137.195801,2137.195801,15169555209
2021-08-01,2132.352783,2271.748291,2124.321289,2159.128906,2159.128906,19129863490
2021-08-02,2155.692627,2245.678467,2115.934082,2198.213867,2198.213867,18664983926
2021-08-03,2197.590088,2215.392578,2062.191650,2108.304688,2108.304688,19122695653
2021-08-04,2113.524170,2334.849121,2079.414551,2301.587158,2301.587158,21151114778
2021-08-05,2302.473877,2400.095703,2146.618896,2389.206055,2389.206055,26245191541
2021-08-06,2389.353516,2504.060059,2310.751465,2457.699463,2457.699463,22552952141
2021-08-07,2458.350342,2695.132813,2438.651123,2684.088623,2684.088623,28123812302
2021-08-08,2687.484131,2707.352783,2509.392578,2565.343506,2565.343506,24203224478
2021-08-09,2564.622559,2712.388916,2466.164063,2698.918457,2698.918457,27248778820
2021-08-10,2694.823730,2755.878174,2610.687988,2680.685791,2680.685791,23554486686
2021-08-11,2681.657715,2785.530029,2664.159912,2694.835693,2694.835693,22763836160
2021-08-12,2694.776611,2756.537598,2541.468994,2593.275146,2593.275146,21646340216
